pb_file,node_name,op_type,dtype,output_shapes,device,input_count,inputs,attr_keys
meta_graph_1_frozen.pb,wGs2bomS4u,Slice,DT_FLOAT,,,3,l5WSX3VvMK|K9GMpYCtv0|cabYERrfDV,Index|T
meta_graph_1_frozen.pb,yVxKAL4U5G,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,CnGHBPsxTu,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,G6mbQs5B2g,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,avN4BtDkEK,Slice,DT_FLOAT,,,3,yVxKAL4U5G|CnGHBPsxTu|G6mbQs5B2g,Index|T
meta_graph_1_frozen.pb,WDLoyKsiA7,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,BWn9Dt3ukm,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,1ehPKm0GrY,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,j3eNDZPRhT,Slice,DT_FLOAT,,,3,WDLoyKsiA7|BWn9Dt3ukm|1ehPKm0GrY,Index|T
meta_graph_1_frozen.pb,FTIMrcfako,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,yBgUFcAt0R,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,Mzfy0LhdZ8,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,rA54YbduTP,Slice,DT_FLOAT,,,3,FTIMrcfako|yBgUFcAt0R|Mzfy0LhdZ8,Index|T
meta_graph_1_frozen.pb,gdck97AK4w,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,0wzuSyB68b,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,xp8srfQYhG,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,Nn4xfLt9Wq,Slice,DT_FLOAT,,,3,gdck97AK4w|0wzuSyB68b|xp8srfQYhG,Index|T
meta_graph_1_frozen.pb,tIGjbcEuDd,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,9NZS5vyIDR,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,T8jYLbiaut,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,CipvLejUJE,Slice,DT_FLOAT,,,3,tIGjbcEuDd|9NZS5vyIDR|T8jYLbiaut,Index|T
meta_graph_1_frozen.pb,7tFB8mLWUr,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,hK5DaT3B7u,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,jrwpHQ4J2B,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,kAMYmvsCWT,Slice,DT_FLOAT,,,3,7tFB8mLWUr|hK5DaT3B7u|jrwpHQ4J2B,Index|T
meta_graph_1_frozen.pb,UMO0o14RuI,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,MO4cd8Y3rJ,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,eRTwvprZMJ,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,8ZuflejT6R,Slice,DT_FLOAT,,,3,UMO0o14RuI|MO4cd8Y3rJ|eRTwvprZMJ,Index|T
meta_graph_1_frozen.pb,Pu1O5qFxY6,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,4GBviasVpK,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,WBrsvNMOSA,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,bUtzZqJeip,Slice,DT_FLOAT,,,3,Pu1O5qFxY6|4GBviasVpK|WBrsvNMOSA,Index|T
meta_graph_1_frozen.pb,mTMtDEo3r8,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,fmBoWd9Ki0,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,Svi1qgLTzJ,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,fuqEbTncjp,Slice,DT_FLOAT,,,3,mTMtDEo3r8|fmBoWd9Ki0|Svi1qgLTzJ,Index|T
meta_graph_1_frozen.pb,c2MuYjWE3S,Placeholder,DT_FLOAT,,,0,,dtype|shape
meta_graph_1_frozen.pb,bYpJnixF9v,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,WyKelU132z,Const,DT_INT32,,,0,,dtype|value
meta_graph_1_frozen.pb,bPVdN2r85E,Slice,DT_FLOAT,,,3,c2MuYjWE3S|bYpJnixF9v|WyKelU132z,Index|T
